iter	Passed	Remaining
1463	7183	2629
1464	7187	2624
1465	7192	2620
1466	7197	2615
1467	7202	2610
1468	7206	2605
1469	7211	2600
1470	7216	2595
1471	7221	2590
1472	7225	2585
1473	7230	2580
1474	7235	2575
1475	7240	2570
1476	7244	2565
1477	7250	2560
1478	7254	2555
1479	7259	2550
1480	7264	2545
1481	7269	2540
1482	7273	2535
1483	7278	2530
1484	7283	2525
1485	7288	2520
1486	7293	2516
1487	7297	2511
1488	7302	2506
1489	7307	2501
1490	7312	2496
1491	7316	2491
1492	7321	2486
1493	7326	2481
1494	7330	2476
1495	7335	2471
1496	7340	2466
1497	7345	2461
1498	7350	2456
1499	7354	2451
1500	7359	2446
1501	7364	2441
1502	7369	2436
1503	7373	2431
1504	7378	2426
1505	7383	2421
1506	7388	2417
1507	7393	2412
1508	7398	2407
1509	7403	2402
1510	7407	2397
1511	7412	2392
1512	7417	2387
1513	7422	2382
1514	7427	2377
1515	7431	2372
1516	7436	2367
1517	7441	2362
1518	7446	2357
1519	7451	2352
1520	7456	2348
1521	7461	2343
1522	7465	2338
1523	7470	2333
1524	7475	2328
1525	7480	2323
1526	7485	2318
1527	7490	2313
1528	7494	2308
1529	7499	2303
1530	7504	2298
1531	7509	2293
1532	7514	2289
1533	7518	2284
1534	7523	2279
1535	7528	2274
1536	7533	2269
1537	7538	2264
1538	7543	2259
1539	7548	2254
1540	7552	2249
1541	7557	2244
1542	7562	2239
1543	7567	2234
1544	7571	2229
1545	7576	2224
1546	7581	2220
1547	7586	2215
1548	7591	2210
1549	7596	2205
1550	7600	2200
1551	7605	2195
1552	7610	2190
1553	7614	2185
1554	7619	2180
1555	7624	2175
1556	7629	2170
1557	7634	2165
1558	7638	2160
1559	7643	2155
1560	7648	2150
1561	7652	2145
1562	7657	2141
1563	7662	2136
1564	7667	2131
1565	7671	2126
1566	7676	2121
1567	7681	2116
1568	7686	2111
1569	7691	2106
1570	7696	2101
1571	7700	2096
1572	7705	2091
1573	7710	2086
1574	7715	2082
1575	7720	2077
1576	7725	2072
1577	7730	2067
1578	7734	2062
1579	7739	2057
1580	7744	2052
1581	7749	2047
1582	7753	2042
1583	7758	2037
1584	7763	2032
1585	7768	2027
1586	7773	2022
1587	7777	2017
1588	7782	2012
1589	7787	2008
1590	7792	2003
1591	7796	1998
1592	7801	1993
1593	7806	1988
1594	7811	1983
1595	7815	1978
1596	7820	1973
1597	7825	1968
1598	7830	1963
1599	7835	1958
1600	7840	1953
1601	7845	1949
1602	7850	1944
1603	7854	1939
1604	7859	1934
1605	7864	1929
1606	7869	1924
1607	7874	1919
1608	7878	1914
1609	7883	1909
1610	7888	1904
1611	7893	1899
1612	7898	1894
1613	7902	1890
1614	7907	1885
1615	7912	1880
1616	7917	1875
1617	7922	1870
1618	7927	1865
1619	7932	1860
1620	7936	1855
1621	7941	1850
1622	7946	1845
1623	7951	1841
1624	7956	1836
1625	7961	1831
1626	7966	1826
1627	7971	1821
1628	7976	1816
1629	7980	1811
1630	7985	1806
1631	7990	1801
1632	7995	1796
1633	8000	1792
1634	8005	1787
1635	8010	1782
1636	8015	1777
1637	8020	1772
1638	8024	1767
1639	8029	1762
1640	8034	1757
1641	8039	1752
1642	8044	1747
1643	8050	1743
1644	8054	1738
1645	8059	1733
1646	8064	1728
1647	8069	1723
1648	8074	1718
1649	8079	1713
1650	8083	1708
1651	8088	1703
1652	8093	1699
1653	8098	1694
1654	8103	1689
1655	8108	1684
1656	8112	1679
1657	8117	1674
1658	8122	1669
1659	8127	1664
1660	8132	1659
1661	8137	1654
1662	8142	1649
1663	8147	1645
1664	8152	1640
1665	8157	1635
1666	8161	1630
1667	8166	1625
1668	8171	1620
